uuid,class,order,family,genus,species,common_name,description
968d7de9-01a8-47d0-834e-0c47303c44b0,aves,pelecaniformes,pelecanidae,,,pelecanidae family,
9695801b-c1fd-430f-99df-5102c726341e,aves,passeriformes,vangidae,euryceros,prevostii,helmet vanga,"The helmet vanga is a distinctive-looking bird of the vanga family, Vangidae, and is classified in its own genus, Euryceros. It is mainly blue-black, with rufous wings and a huge arched blue bill. It is restricted to lowland and lower montane rainforests of northeastern Madagascar. Its diet is composed of invertebrates, predominantly insects. The species is threatened by habitat loss."
9696efc2-7fb4-48d7-838f-2b7b581dc4bb,mammalia,didelphimorphia,,,,didelphimorphia order,
969df30d-cd74-40b6-86f7-c195687853b0,aves,galliformes,phasianidae,coturnix,delegorguei,harlequin quail,"The harlequin quail is a species of bird in the family Phasianidae. It occurs in sub-Saharan Africa and in the Arabian Peninsula. The species is named after the collector, Adulphe Delegorgue."
96a61999-e7b0-4442-8a6b-9c2ea3a38d98,reptilia,squamata,varanidae,varanus,varius,lace monitor,"The lace monitor, also known as the tree goanna, is a member of the monitor lizard family native to eastern Australia. A large lizard, it can reach 2 metres (6.6 ft) in total length and 14 kilograms (31 lb) in weight. The lace monitor is considered to be a least-concern species according to the International Union for Conservation of Nature."
96cdabb7-c946-4434-a51a-97abb75274b1,aves,accipitriformes,accipitridae,aquila,heliaca,eastern imperial eagle,"The eastern imperial eagle is a large bird of prey that breeds in southeastern Europe and extensively through West and Central Asia. Most populations are migratory and winter in northeastern Africa, the Middle East and South and East Asia. Like all eagles, the eastern imperial eagle is a member of the family Accipitridae. Furthermore, its feathered legs mark it as a member of the subfamily Aquilinae. It is a large, dark-colored eagle, with a resemblance to other members of the genus Aquila, but it is usually the darkest species in its range. It is an opportunistic predator that mostly selects smallish mammals as prey but also a fairly large proportion of birds, reptile and other prey types, including carrion. Compared to other Aquila eagles, it has a strong preference for the interface of tall woods with plains and other open, relatively flat habitats, including the wooded mosaics of the steppe. Normally, nests are located in large, mature trees and the parents raise around one or two fledglings. The global population is small and declining due to persecution, loss of habitat and prey. It has therefore been IUCN Red Listed as Vulnerable since 1994."
96d478d5-30c4-4857-81de-9ac46d132800,mammalia,cetartiodactyla,cervidae,rusa,unicolor,sambar,"Sambar or Sambhar may refer to:Sambar deer, a species of deer
Sambar (dish), a lentil-based dish common in India and Sri Lanka.
Sambar (film), an Indian Malayalam-language film by Navas Kallara
Sambhar, Rajasthan, a city and a municipality in Rajasthan state of India
Sambhar Salt Lake, a lake in Rajasthan
Subaru Sambar, a kei-class van
David Sambar, a British American Lebanese international investment banker"
96debe9f-7452-42c9-87ae-2e6b37f78025,mammalia,carnivora,felidae,felis,silvestris,wild cat,Felidae is the family of mammals in the order Carnivora colloquially referred to as cats. A member of this family is also called a felid.
96df8560-5f7d-40b7-96df-66353df34d3c,aves,gruiformes,gruidae,balearica,,balearica species,
96e510a0-1016-44d8-b134-6442b15615ec,aves,accipitriformes,accipitridae,accipiter,gentilis,northern goshawk,"The northern goshawk has been split into two species based on significant morphological and genetic differences:Eurasian goshawk, Astur gentilis
American goshawk, Astur atricapillus
"
96ef11b4-e905-4ab1-b0c2-583e773fd71e,mammalia,carnivora,viverridae,diplogale,hosei,hose's civet,"Hose's palm civet, also known as Hose's civet, is a viverrid species endemic to the island of Borneo. It is listed on the IUCN Red List as Vulnerable because of an ongoing population decline, estimated to be more than 30% over the last three generations and suspected to be more than 30% in the next three generations due to declines in population inferred from habitat destruction and degradation."
96fe1a07-7ef1-4a2f-99e1-ec2c9a78b532,aves,pelecaniformes,ardeidae,ardea,herodias,great blue heron,"The great blue heron is a large wading bird in the heron family Ardeidae, common near the shores of open water and in wetlands over most of North and Central America, as well as far northwestern South America, the Caribbean and the Galápagos Islands. It is occasionally found in the Azores and is a rare vagrant to Europe. An all-white population found in south Florida and the Florida Keys is known as the great white heron. Debate exists about whether these white birds are a color morph of the great blue heron, a subspecies of it, or an entirely separate species."
9705e92d-0833-40b9-9039-de0f4eefbbfd,mammalia,diprotodontia,burramyidae,,,burramyidae family,
9708923c-d5f1-434a-a2cf-c513eaecfcc2,mammalia,lagomorpha,leporidae,sylvilagus,aquaticus,swamp rabbit,"The swamp rabbit, also known as the cane cutter, swamper, or cane jake, is a species of cottontail rabbit found in the swamps and wetlands of the southern United States. It is herbivorous, territorial, and nocturnal. The largest of the cottontail rabbits, it is similar in appearance to the eastern cottontail, but has distinctly smaller ears and orange-colored hind legs. Swamp rabbits are closely related to the marsh rabbit. The two species likely separated during the Pleistocene epoch."
9732cefb-6a08-49f6-b61e-b9a9054368c4,mammalia,cetartiodactyla,bovidae,syncerus,caffer,african buffalo,The African buffalo is a large sub-Saharan African bovine.
973c7801-f989-4a7b-9e4f-a6ad258d2179,mammalia,primates,cercopithecidae,erythrocebus,,erythrocebus species,
9753522a-de9e-4944-a3e4-f97b4698e017,aves,coraciiformes,meropidae,,,meropidae family,
97588860-0545-4fea-a5ce-3e298d12588c,aves,musophagiformes,musophagidae,gallirex,,gallirex species,
975c3069-b79d-43c9-91f1-1f4191b50ac9,mammalia,lagomorpha,leporidae,lepus,tolai,tolai hare,"The tolai hare is a species of hare native to Central Asia, Mongolia, and Northern and Central China. It inhabits semi-desert, steppes, rocky habitats, and forest meadows. It is relatively common, even in areas with heavy human disturbance, due to its fast reproductive rate. It is mainly active at dusk and at night but is occasionally active during the day."
977b46b1-bf1c-4314-a7c2-c7848485e7a4,aves,procellariiformes,procellariidae,ardenna,,ardenna species,
97969dd0-97f3-4562-af1c-ac1bea43badc,aves,passeriformes,fringillidae,haemorhous,mexicanus,house finch,"The house finch is a North American bird in the finch family. It is native to Mexico and southwestern United States, but has since been introduced to the eastern part of North America and Hawaiʻi; it is now found year-round in almost all parts of the United States and most of Mexico, with some residing near the border of Canada. There are estimated to be 40 million house finches across North America, making it the second-most populous finch, just behind the American goldfinch. The house finch and the other two American rosefinches are placed in the genus Haemorhous."
979cb74b-38b3-4d88-b828-c6091e64564a,mammalia,carnivora,canidae,lycaon,pictus,african wild dog,"The African wild dog, also called painted dog and Cape hunting dog, is a wild canine native to sub-Saharan Africa. It is the largest wild canine in Africa, and the only extant member of the genus Lycaon, which is distinguished from Canis by dentition highly specialised for a hypercarnivorous diet and by a lack of dewclaws."
97cfb152-7914-4b2a-b9bb-d3e3cb747803,aves,piciformes,ramphastidae,pteroglossus,,pteroglossus species,
97d71afa-1115-4341-a722-9969593b669b,aves,passeriformes,regulidae,,,regulidae family,
97efc2f7-1480-44a8-bade-936e91789e98,aves,galliformes,phasianidae,lophura,nycthemera,silver pheasant,"The silver pheasant is a species of pheasant found in forests, mainly in mountains, of mainland Southeast Asia and eastern and southern China. It is introduced on Victoria Island in Nahuel Huapi Lake, Neuquén, Argentina and on Vancouver Island, Canada. The male is black and white, while the female is mainly brown. Both sexes have a bare red face and red legs. It is common in aviculture, and overall also remains common in the wild, but some of its subspecies are rare and threatened."
9805e578-061a-49c0-8abc-ea135381c162,aves,passeriformes,corvidae,corvus,corax,common raven,"The common raven or northern raven is a large all-black passerine bird. It is the most widely distributed of all corvids, found across the Northern Hemisphere. There are 11 accepted subspecies with little variation in appearance, although recent research has demonstrated significant genetic differences among populations from various regions. It is one of the two largest corvids, alongside the thick-billed raven, and is the heaviest passerine bird; at maturity, the common raven averages 63 centimetres in length and 1.47 kilograms in weight, though up to 2 kg (4.4 lb) in the heaviest individuals. Although their typical lifespan is considerably shorter, common ravens can live more than 23 years in the wild. Young birds may travel in flocks but later mate for life, with each mated pair defending a territory."
980866dd-97ac-4257-b5ae-0c514388d2aa,aves,charadriiformes,scolopacidae,limnodromus,,limnodromus species,
981cb2c6-be18-4b47-9e37-e115d1a597a6,aves,passeriformes,muscicapidae,dessonornis,caffer,cape robin-chat,The Cape robin-chat is a small passerine bird of the Old World flycatcher family Muscicapidae. It has a disjunct range from South Sudan to South Africa.
98254337-6ee9-4664-a471-4b1eb0b73c48,mammalia,carnivora,mustelidae,mustela,putorius,western polecat,
982c7064-3baa-40a2-bf88-917cbab80b6b,mammalia,primates,hominidae,gorilla,beringei,eastern gorilla,"The eastern gorilla is a critically endangered species of the genus Gorilla and the largest living primate. At present, the species is subdivided into two subspecies. There are 6,800 eastern lowland gorillas or Grauer's gorillas and 1,000 mountain gorillas. Illegal hunting threatens the species."
982cbeec-cf43-45f0-ae49-7218c85d53ba,mammalia,rodentia,sciuridae,callosciurus,notatus,plantain squirrel,"The plantain squirrel, oriental squirrel or tricoloured squirrel is a species of rodent in the family Sciuridae found in Indonesia, Malaysia, Singapore, and Thailand in a wide range of habitats: forests, mangroves, parks, gardens, and agricultural areas. Fruit farmers consider them to be pests."
983c580a-3a1a-4091-a3a9-54f3440f26dc,aves,passeriformes,artamidae,cracticus,,cracticus species,
